Institution,Location,State,Type,Nickname,Conference,Url
Sacred Heart,Fairfield,Connecticut,Private,Pioneers,Northeast,https://www.sacredheartpioneers.com/sports/w-soccer/2018-19/roster
Saint Bonaventure,Saint Bonaventure,New York,Private,Bonnies,Atlantic 10,https://gobonnies.sbu.edu/sports/w-soccer/2018-19/roster
Saint Francis (PA),Loretto,Pennsylvania,Private,Robert Morris,Northeast,https://sfuathletics.com/roster.aspx?roster=308&path=wsoc
Saint Johns,Jamaica,New York,Private,Red Storm,Big East,https://redstormsports.com/roster.aspx?path=wsoc
Saint Joseph's,Philadelphia,Pennsylvania,Private,Hawks,Atlantic 10,http://www.sjuhawks.com/SportSelect.dbml?DB_OEM_ID=31200&SPID=127346&SPSID=750537
Saint Louis,Saint Louis,Missouri,Private,Billikens,Atlantic 10,http://www.slubillikens.com/SportSelect.dbml?DB_OEM_ID=27200&SPID=95701&SPSID=640350
Saint Mary's,Moraga,California,Private,Gaels,West Coast,https://smcgaels.com/roster.aspx?roster=21&path=wsoc
Saint Peter's,Jersey City,New Jersey,Private,Peahens,Metro Atlantic,https://saintpeterspeacocks.com/roster.aspx?roster=76&path=wsoc
Sam Houston State,Huntsville,Texas,Public,Bearkats,Southland,http://www.gobearkats.com/SportSelect.dbml?DB_OEM_ID=19900&SPID=11346&SPSID=92969
Samford,Homewood,Alabama,Private,Bulldogs,Southern,https://samfordsports.com/roster.aspx?roster=206&path=wsoc
San Diego,San Diego,California,Private,Toreros,West Coast,https://usdtoreros.com/roster.aspx?roster=1235&path=wsoc
San Diego State,San Diego,California,Public,Aztecs,Mountain West,https://goaztecs.com/roster.aspx?roster=119&path=wsoc
San Francisco,San Francisco,California,Private,Dons,West Coast,https://usfdons.com/roster.aspx?roster=210&path=wsoc
San Jose State,San Jose,California,Public,Spartans,Mountain West,https://sjsuspartans.com/roster.aspx?path=wsoc
Santa Clara,Santa Clara,California,Private,Broncos,West Coast,https://www.santaclarabroncos.com/sports/w-soccer/2018-19/roster
Seattle,Seattle,Washington,Private,Redhawks,WAC,http://www.goseattleu.com/SportSelect.dbml?DB_OEM_ID=18200&SPID=10761&SPSID=89845
Seton Hall,South Orange,New Jersey,Private,Pirates,Big East,https://shupirates.com/roster.aspx?path=wsoc
Siena,Loudonville,New York,Private,Saints,Metro Atlantic,https://sienasaints.com/roster.aspx?roster=1219&path=wsoc
SIU Edwardsville,Edwardsville,Illinois,Public,Cougars,Ohio Valley,https://www.siuecougars.com/sports/w-soccer/2018-19/roster
SMU,University Park,Texas,Private,Mustangs,American,https://smumustangs.com/roster.aspx?roster=2231&path=wsoc
South Alabama,Mobile,Alabama,Public,Jaguars,Sun Belt,https://usajaguars.com/roster.aspx?path=soccr
South Carolina,Columbia,South Carolina,Public,Gamecocks,SEC,https://gamecocksonline.com/roster.aspx?roster=183&path=wsoc
South Carolina State,Orangeburg,South Carolina,Public,Lady Bulldogs,Independent,https://www.scsuathletics.com/roster.aspx?path=wsoc&roster=239&
South Dakota,Vermillion,South Dakota,Public,Coyotes,Summit,https://goyotes.com/roster.aspx?roster=332
South Dakota State,Brookings,South Dakota,Public,Jackrabbits,Summit,https://gojacks.com/roster.aspx?path=wsoc
South Florida,Tampa,Florida,Public,Bulls,American,https://gousfbulls.com/roster.aspx?roster=328&path=wsoc
Southeast Missouri State,Cape Girardeau,Missouri,Public,Redhawks,Ohio Valley,https://gosoutheast.com/roster.aspx?roster=237&path=
Southeastern Louisiana,Hammond,Louisiana,Public,Lady Lions,Southland,https://lionsports.net/roster.aspx?roster=180&path=wsoc
Southern,Baton Rouge,Louisiana,Public,Lady Jaguars,SWAC,http://www.gojagsports.com/SportSelect.dbml?DB_OEM_ID=28100&SPID=96903&SPSID=641600
Southern Miss,Hattiesburg,Mississippi,Public,Lady Eagles,Conference USA,https://southernmiss.com/roster.aspx?roster=94&path=wsoc
Southern Utah,Cedar City,Utah,Public,Thunderbirds,Big Sky,https://suutbirds.com/roster.aspx?roster=282&path=wsoc
Stanford,Palo Alto,California,Private,Cardinal,Pac-12,https://gostanford.com/roster.aspx?roster=674&path=wsoc
Stephen F. Austin,Nacogdoches,Texas,Public,Ladyjacks,Southland,https://sfajacks.com/roster.aspx?roster=67&path=wsoc
Stetson,DeLand,Florida,Private,Hatters,ASUN,https://gohatters.com/roster.aspx?path=wsoc
Stony Brook,Stony Brook,New York,Public,Seawolves,America East,https://stonybrookathletics.com/roster.aspx?roster=206&path=wsoc
Syracuse,Syracuse,New York,Private,Orange,ACC,https://cuse.com/roster.aspx?roster=470&path=wsoccer
TCU,Fort Worth,Texas,Private,Horned Frogs,Big 12,https://gofrogs.com/roster.aspx?roster=144&path=wsoc
Temple,Philadelphia,Pennsylvania,Public-private hybrid,Owls,American,https://owlsports.com/roster.aspx?roster=329&path=wsoc
Tennessee,Knoxville,Tennessee,Public,Volunteers,SEC,https://utsports.com/roster.aspx?roster=1173&path=wsoc
Tennessee Tech,Cookeville,Tennessee,Public,Golden Eagles,Ohio Valley,http://www.ttusports.com/sports/wsoc/2018-19/roster
Texas,Austin,Texas,Public,Longhorns,Big 12,https://texassports.com/roster.aspx?roster=308&path=wsoc
Texas A&M,College Station,Texas,Public,Aggies,SEC,https://12thman.com/roster.aspx?roster=173&path=wsoc
Texas A&M Corpus,Corpus Christi,Texas,Public,Islanders,Southland,https://goislanders.com/roster.aspx?path=wsoc
Texas Southern,Houston,Texas,Public,Lady Tigers,SWAC,https://tsusports.com/roster.aspx?path=wsoc
Texas State,San Marcos,Texas,Public,Bobcats,Sun Belt,https://txstatebobcats.com/roster.aspx?roster=239&path=wsoc
Texas Tech,Lubbock,Texas,Public,Red Raiders,Big 12,https://texastech.com/roster.aspx?roster=170
The Citadel,Charleston,South Carolina,Public,Bulldogs,Southern,https://citadelsports.com/roster.aspx?path=wsoc
Toledo,Toledo,Ohio,Public,Rockets,MAC,https://utrockets.com/roster.aspx?roster=222&path=wsoc
Towson,Towson,Maryland,Public,Tigers,CAA,https://towsontigers.com/roster.aspx?roster=314&path=wsoc
Troy,Troy,Alabama,Public,Trojans,Sun Belt,https://troytrojans.com/roster.aspx?roster=280&path=wsoc
Tulsa,Tulsa,Oklahoma,Private,Golden Hurricane,American,https://tulsahurricane.com/roster.aspx?roster=1254&path=wsoc
UAB,Birmingham,Alabama,Public,Blazers,Conference USA,https://uabsports.com/roster.aspx?roster=2222&path=wsoc
UC Davis,Davis,California,Public,Aggies,Big West,https://ucdavisaggies.com/roster.aspx?roster=118&path=wsoc
UC Irvine,Irvine,California,Public,Anteaters,Big West,https://ucirvinesports.com/roster.aspx?path=wsoc
UC Riverside,Riverside,California,Public,Highlanders,Big West,https://gohighlanders.com/roster.aspx?path=wsoc
UC Santa Barbara,Santa Barbara,California,Public,Gauchos,Big West,http://www.ucsbgauchos.com/sports/w-soccer/2018-19/roster
UCF,Orlando,Florida,Public,Knights,American,http://ucfknights.com/SportSelect.dbml?DB_OEM_ID=34100&SPID=181614&SPSID=1115440
UCLA,Los Angeles,California,Public,Bruins,Pac-12,https://uclabruins.com/roster.aspx?roster=2207&path=wsoc
UIC,Chicago,Illinois,Public,Flames,Horizon,https://uicflames.com/roster.aspx?roster=1201&path=wsoc
UMass,Amherst,Massachusetts,Public,Minutewomen,Atlantic 10,https://umassathletics.com/roster.aspx?roster=275
UMass Lowell,Lowell,Massachusetts,Public,River Hawks,America East,https://goriverhawks.com/roster.aspx?roster=213&path=wsoc
UMBC,Catonsville,Maryland,Public,Retrievers,America East,http://umbcretrievers.com/sports/wsoc/2018-19/roster
UMKC,Kansas City,Missouri,Public,Kangaroos,WAC,http://www.umkckangaroos.com/SportSelect.dbml?DB_OEM_ID=18300&SPID=12749&SPSID=104113
UNC Asheville,Asheville,North Carolina,Public,Bulldogs,Big South,https://uncabulldogs.com/roster.aspx?path=wsoc
UNC Greensboro,Greensboro,North Carolina,Public,Spartans,Southern,http://www.uncgspartans.com/SportSelect.dbml?DB_OEM_ID=32200&SPID=137646&SPSID=810434
UNC Wilmington,Wilmington,North Carolina,Public,Seahawks,CAA,https://uncwsports.com/roster.aspx?roster=221&path=wsoc
UNLV,Las Vegas,Nevada,Public,Rebels,Mountain West,https://unlvrebels.com/roster.aspx?roster=319&path=wsoc
USC,Los Angeles,California,Private,Trojans,Pac-12,https://usctrojans.com/roster.aspx?roster=260&path=wsoc
USC Upstate,Spartanburg,South Carolina,Public,Spartans,Big South,https://www.upstatespartans.com/sports/w-soccer/2018-19/roster
UT Martin,Martin,Tennessee,Public,Skyhawks,Ohio Valley,https://utmsports.com/roster.aspx?roster=28
Utah,Salt Lake City,Utah,Public,Utes,Pac-12,https://utahutes.com/roster.aspx?roster=213&path=wsoc
Utah State,Logan,Utah,Public,Aggies,Mountain West,https://utahstateaggies.com/roster.aspx?roster=59&path=wsoc
Utah Valley,Orem,Utah,Public,Wolverines,WAC,https://gouvu.com/roster.aspx?path=wsoc
UTEP,El Paso,Texas,Public,Miners,Conference USA,https://utepathletics.com/roster.aspx?roster=1131&path=wsoc
UTRGV,Edinburg,Texas,Public,Vaqueros,WAC,https://goutrgv.com/roster.aspx?path=wsoc
UTSA,San Antonio,Texas,Public,Roadrunners,Conference USA,https://goutsa.com/roster.aspx?path=wsoc
Valparaiso,Valparaiso,Indiana,Private,Crusaders,Missouri Valley,http://www.valpoathletics.com/wsoccer/roster/
Vanderbilt,Nashville,Tennessee,Private,Commodores,SEC,https://vucommodores.com/roster.aspx?roster=196&path=wsoc
VCU,Richmond,Virginia,Public,Rams,Atlantic 10,http://www.vcuathletics.com/sports/wsoc/2018-19/roster
Vermont,Burlington,Vermont,Public,Catamounts,America East,https://uvmathletics.com/roster.aspx?roster=1169&path=wsoc
Villanova,Villanova,Pennsylvania,Private,Wildcats,Big East,https://villanova.com/roster.aspx?roster=253&path=wsoc
Virginia,Charlottesville,Virginia,Public,Cavaliers,ACC,https://virginiasports.com/roster.aspx?roster=116&path=wsoc
Virginia Tech,Blacksburg,Virginia,Public,Hokies,ACC,https://hokiesports.com/roster.aspx?roster=270&path=wsoc
VMI,Lexington,Virginia,Public,Keydets,Southern,http://www.vmikeydets.com/SportSelect.dbml?DB_OEM_ID=9800&SPID=3899&SPSID=43862
Wagner,Staten Island,New York,Private,Seahawks,Northeast,https://wagnerathletics.com/roster.aspx?path=wsoc
Wake Forest,Winston-Salem,North Carolina,Private,Demon Deacons,ACC,https://wakeforestsports.com/roster.aspx?roster=152&path=wsoc
Washington,Seattle,Washington,Public,Huskies,Pac-12,https://gohuskies.com/roster.aspx?roster=155&path=wsoc
Washington State,Pullman,Washington,Public,Cougars,Pac-12,https://wsucougars.com/roster.aspx?roster=1167&path=wsoc
Weber State,Ogden,Utah,Public,Wildcats,Big Sky,https://weberstatesports.com/roster.aspx?roster=185&path=wsoc
West Virginia,Morgantown,West Virginia,Public,Mountaineers,Big 12,https://wvusports.com/roster.aspx?roster=79&path=wsoc
Western Carolina,Cullowhee,North Carolina,Public,Catamounts,Southern,http://www.catamountsports.com/SportSelect.dbml?&DB_OEM_ID=12100&SPID=5010&SPSID=50247
Western Illinois,Macomb,Illinois,Public,Leathernecks,Summit,https://goleathernecks.com/roster.aspx?path=wsoc
Western Kentucky,Bowling Green,Kentucky,Public,Lady Toppers,Conference USA,http://wkusports.com/roster.aspx?roster=65&path=wsoc
Western Michigan,Kalamazoo,Michigan,Public,Broncos,MAC,https://wmubroncos.com/roster.aspx?roster=1212&path=wsoc
William & Mary,Williamsburg,Virginia,Public,Tribe,CAA,https://tribeathletics.com/roster.aspx?path=wsoc
Winthrop,Rock Hill,South Carolina,Public,Eagles,Big South,https://winthropeagles.com/roster.aspx?roster=257
Wisconsin,Madison,Wisconsin,Public,Badgers,Big Ten,https://uwbadgers.com/roster.aspx?roster=208&path=wsoc
Wofford,Spartanburg,South Carolina,Private,Terriers,Southern,https://woffordterriers.com/roster.aspx?roster=301&path=wsoc
Wright State,Fairborn,Ohio,Public,Raiders,Horizon,https://wsuraiders.com/roster.aspx?roster=172&path=wsoc
Wyoming,Laramie,Wyoming,Public,Cowgirls,Mountain West,https://gowyo.com/roster.aspx?roster=95&path=wsoc
Xavier,Cincinnati,Ohio,Private,Musketeers,Big East,https://goxavier.com/roster.aspx?roster=2206&path=wsoc
Yale,New Haven,Connecticut,Private,Bulldogs,Ivy League,http://www.yalebulldogs.com/sports/w-soccer/2018-19/roster
Youngstown State,Youngstown,Ohio,Public,Penguins,Horizon,http://www.ysusports.com/sports/wsoc/2018-19/roster
