Institution,Location,State,Type,Nickname,Conference,Url
Mississippi State,Starkville,Mississippi,Public,Bulldogs,SEC,https://hailstate.com/roster.aspx?path=wsoc
Mississippi Valley State,Mississippi Valley State,Mississippi,Public,Devilettes,SWAC,https://mvsusports.com/roster.aspx?path=wsoc
Missouri,Columbia,Missouri,Public,Tigers,SEC,https://mutigers.com/roster.aspx?roster=254&path=wsoc
Missouri State,Springfield,Missouri,Public,Lady Bears,Missouri Valley,https://missouristatebears.com/roster.aspx?roster=197&path=wsoc
Monmouth,West Long Branch,New Jersey,Private,Hawks,Metro Atlantic,https://monmouthhawks.com/roster.aspx?roster=331&path=wsoc
Montana,Missoula,Montana,Public,Grizzlies,Big Sky,https://msubsports.com/roster.aspx?path=wsoc
Morehead State,Morehead,Kentucky,Public,Eagles,Ohio Valley,https://msueagles.com/roster.aspx?roster=176&path=wsoc
Mount St. Mary's,Emmitsburg,Maryland,Private,Mountaineers,Northeast,http://www.mountathletics.com/sports/wsoc/2018-19/roster
Murray State,Murray,Kentucky,Public,Racers,Ohio Valley,https://goracers.com/roster.aspx?path=wsoc
Navy,Annapolis,Maryland,U.S. Service Academy,Midshipmen,Patriot,https://navysports.com/roster.aspx?roster=392&path=wsoc
NC State,Raleigh,North Carolina,Public,Wolfpack,ACC,https://gopack.com/roster.aspx?roster=203
Nebraska,Lincoln,Nebraska,Public,Cornhuskers,Big Ten,http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=26&SPSID=41
Nevada,Reno,Nevada,Public,Wolf Pack,Mountain West,https://nevadawolfpack.com/roster.aspx?roster=109&path=wsoc
New Hampshire,Durham,New Hampshire,Public,Wildcats,America East,http://www.snhupenmen.com/sports/wsoc/2018-19/roster
New Mexico,Albuquerque,New Mexico,Public,Lobos,Mountain West,https://nmhucowboys.com/roster.aspx?path=wsoc
New Mexico State,Las Cruces,New Mexico,Public,Aggies,WAC,https://nmstatesports.com/roster.aspx?path=wsoc
Niagara,Lewiston,New York,Private,Purple Eagles,Metro Atlantic,https://purpleeagles.com/roster.aspx?path=wsoc
